filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000123.mp4, 3,"  Likely a rear-end collision, although a sideswipe type cannot be ruled out.",  Cannot determine., Cannot determine.,  Cannot determine.,"  Likely, but cannot determine."," Truck, sedan (at least 2)", No.," Day, clear.", Yes
000124.mp4, 0, N/A, no, no, no, no, Single moped, no, Day/clear, yes
000125.mp4,2,T-Bone,"Potentially yes (due to the nature of the accident, injury is possible, but not definitively visible)",Potentially yes (due to potential injury),No (no visible fire or related hazards),Yes (due to the accident involving vehicles),Motorcycle and Sedan (white),No,"Day, unclear, possibly overcast (due to the lighting)","Yes (the image quality is poor, making it difficult to discern details)"
000126.mp4, 2," Appears to be an angle collision, potentially a T-bone style."," Unknown. Based on the video, it's impossible to determine if injuries occurred.", Unknown. Cannot be determined from the video., No.," Likely, due to the nature of the accident.", Bus and scooter, No.," Daytime, weather appears to be clear.", Yes.
000127.mp4, 2, T-bone, Unknown, Unknown, Unknown, Likely," Sedan, and Truck/SUV", No," Night, clear", Yes
000128.mp4, 2," T-bone (most likely, based on vehicle positions)", Unknown (cannot be determined from the image), Unknown (cannot be determined from the image), No (no visible signs of fire), Likely (typical for traffic accidents), Box truck and sedan, No," Night, snowy", Yes
000129.mp4, 2, T-bone," Potentially yes (Given the involvement of a fire truck and severity of the collision, injury is possible)", Likely yes, Yes (Firetruck is involved in the accident), Yes (Due to the accident involving a fire truck and multiple vehicles)," Firetruck, sedan", No (No visible fire)," Day, clear", No
000130.mp4, 0, N/A, no, no, no, no," SUV, van, sedan", no," Day, clear with snow", yes
000131.mp4, 2, T-Bone, Unknown, Unknown, No, Likely, Sedan and Sedan, No," Night, Snowy", Low Res
000132.mp4, 2, T-bone," Unknown, but likely.", Likely, Unlikely, Likely, Sedans (likely), No," Night, likely snowy", Yes
000133.mp4, 3," The image shows a complex intersection collision. It looks like one vehicle may have failed to yield, resulting in at least one t-bone type impact. It's difficult to determine the precise sequence of impacts without additional information.", Impossible to determine from the image., Impossible to determine from the image., Impossible to determine from the image.," Likely, given the severity of the accident and the number of vehicles involved."," Based on the visuals, there appears to be a van/minibus, and two smaller sedan-type vehicles.", No," Night, and the presence of snow on the ground and road indicates potentially icy conditions.", Low resolution making it hard to determine details of accident.
000134.mp4,2,T-bone,Unknown,Unknown,Unknown,Likely,Sedans,No,"Day, Snowy",No
000135.mp4," I cannot determine if any accident occurred from these frames. There are two cars visible near the intersection, but it is unclear if they are involved in an accident.",  Cannot determine, Cannot determine, Cannot determine, Cannot determine, Cannot determine, At least one sedan is visible.  There may be another vehicle in the frame., No," Night, appears to be winter with snow on the ground. The weather conditions are not clear."," Yes, the footage is low resolution."
000136.mp4,"4 (1 SUV, 1 truck, and 2 motorbikes)","Multiple impacts, starting as a side impact then motorcycle impacts","Yes (Likely, given the nature of the accident and the motorcycle involvement)",Yes (Likely due to potential injuries),No (No visible fire or smoke),Yes (Standard for traffic accidents with possible injuries),"SUV, truck, motorcycles",No,"Day, clear","Yes (The video quality is not great, making it difficult to discern details)"
000137.mp4, Unable to determine from this single frame. It is possible there is contact between the silver and dark vehicle in the middle lanes., Potentially a sideswipe or lane change collision., Unknown., Unknown., No., Unknown.," Sedan (at least 2 visible), possibly SUV.", No.," Day, rainy/wet."," No, this is a better quality frame."
000138.mp4," It is impossible to determine the number of vehicles in an accident, there is no accident shown.", No accident is shown.,  Impossible to tell., Impossible to tell., Difficult to tell. There is a fire truck near an intersection., Impossible to tell., There is no accident shown., No.," Day, clear.", Yes.
000139.mp4, 0, N/A, no, no, no, no," Sedans, SUVs, Van", no," Day, likely rainy due to wet roads", Yes
000140.mp4," 1 (Based on the visible image, only one vehicle is present at the scene)", Unknown (Insufficient data to determine the type of accident. There's no clear indication of an accident occurring in the single frame provided)., Unknown (No visible indication of injury)., Unknown (No visible indication)., Unknown (No visible indication)., Unknown (No visible indication)., Sedan (The visible vehicle appears to be a sedan)., No (No visible indication).," Night, Clear (Based on the lighting, it appears to be nighttime and the weather seems clear).", Yes (The footage has a low resolution and is somewhat grainy).
000141.mp4, 2, T-bone," yes, potential injuries seen in accident", yes, no, yes," sedan, sedan", no," Day, clear", no
000142.mp4,2,T-bone,"It is difficult to determine from the footage, but potentially yes.",Possibly yes.,"Potentially yes, there may be smoke from tires.",Yes.,Sedans/Cars,"Possibly no, but there is tire smoke.","Night, clear.",Yes.
000143.mp4, 1, Pedestrian Collision, Yes, Yes, No, Yes, Sedan, No," Day, Clear", No
000144.mp4, 2, Side impact/T-bone, Yes, Yes, No, Yes, Sedans, No," Day, Clear", Yes
000145.mp4,2,T-Bone,Unknown (based on visual information),Unknown (based on visual information),No (no fire visible),Likely (due to the nature of the accident),Truck and Sedan,No,"Day, clear",Yes (low resolution)
000146.mp4, 0, Not applicable (no accident), No, No, No, No," Mazda minivan, Sam's Club Box Truck", No," Day, clear", Yes
000147.mp4, 2," Appears to be a side impact, with one vehicle impacting the side of another (potentially a ""T-bone"")."," Likely yes, given the severity of the impact and the type of vehicles involved."," Yes, highly likely due to potential injuries."," Possibly. Debris and vehicle damage might require their assistance, but there is no fire visible."," Yes, to investigate the accident and manage traffic.", Truck and van., No.," Day, clear.", Yes.
000148.mp4, 2, T-bone, Unknown, Unknown, No, Likely, Sedan and sedan., No, Day/Clear, Yes
000149.mp4,,,,,,,,,,
000150.mp4,2,T-bone,Cannot determine from footage,Cannot determine from footage,Cannot determine from footage,Cannot determine from footage,Sedan and sedan,No,"Night, possibly wet road conditions",Yes
000151.mp4, 1, Pedestrian vs. Vehicle," Yes (Likely, based on the pedestrian being hit.)", Yes (Likely), No (Not indicated)," Yes (Likely, due to the accident)", Sedan, No (Not indicated)," Day, Clear", Yes (Low Resolution)
000152.mp4, Undetermined. (Difficult to ascertain if an accident has occurred based on one frame.), Undetermined., Undetermined., Undetermined., Undetermined., Undetermined., At least one van (appears to be a white van)., No.," Day, appears to be clear.", Yes.
000153.mp4, 2, T-Bone, Unknown, Likely, Unlikely, Yes," Sedan, Sedan", No," Night, Clear", Yes
000154.mp4, 1, Appears to be a rollover.," Unknown, but potentially yes due to the severity of the rollover."," Probably yes, given the potential for injuries."," Possibly, depending on the condition of the vehicle."," Yes, to investigate the cause of the accident and manage the scene.", Truck," No, there is no evidence of fire in the frames."," Day, weather appears clear."," Yes, the footage is relatively low resolution."
000155.mp4, 0, N/A, No, No, No, No, N/A, No," Day, Weather is overcast, roads appear to be wet.", Yes
000156.mp4, I cannot see any accident in this frame., Cannot be determined., Cannot be determined., Cannot be determined., Cannot be determined., Cannot be determined.," I can see a tram or light rail vehicle, several cars/vans, and possibly a motorcycle.", No.," Daytime, clear.", Yes.
000157.mp4, 2, T-Bone (most likely), Likely yes, Yes, Unlikely, Yes, Van and Motorcycle, No," Day, Clear", Yes
000158.mp4, 2, Rear end, Cannot determine from the image., Cannot determine from the image., No, Yes (Based on the logo in the corner and title)," Two sedans. One is red, and the other appears to be black or dark blue.", No," Daytime, clear weather."," Yes, the footage is low resolution."
000159.mp4, 2, Appears to be a rear-end collision., Cannot determine from the image., Cannot determine from the image., No.," Likely, considering it is a traffic accident.", Appears to be two sedans., No., Night; weather looks clear., Yes.
000160.mp4, 2, T-Bone, Yes, Yes, No, Yes," Sedan, Motorcycle", No," Day, Rainy", Yes
000161.mp4, 2, T-bone, Likely yes (based on the motorcycle involvement), Likely yes (due to the motorcycle accident), Unlikely, Yes (standard procedure for accidents)," Motorcycle, Sedan", No," Day, Overcast/Wet", Yes
000162.mp4, 2, T-bone," Unknown, but possible", Likely, Unlikely, Yes," Pickup truck, Sedan", No," Day, Clear", No
000163.mp4, 2," Based on the footage, it appears to be a T-bone accident."," Possibly yes, due to the impact and nature of the collision."," Probably yes, given the potential for injuries."," Possibly yes, given the accident may need cleanup or to avoid other incidents."," Yes, for accident investigation and traffic control.", Sedans., No.," Night, likely wet or rainy due to the road reflection."," Yes, the footage is low resolution and grainy."
000164.mp4, 2, T-bone.," Likely yes, based on the severity of the impact."," Likely yes, due to the potential for injuries."," Possibly, to help clear the area or in case of a fire hazard."," Yes, for accident investigation and traffic control.", Both appear to be sedans.," No, based on the frames."," Night, clear.", Yes.
000165.mp4,0,Not Applicable,Cannot Determine,Cannot Determine,Cannot Determine,Cannot Determine,"SUVs, sedans, a van, taxi cab, small cars",No,"Daytime, clear weather",Yes
000166.mp4, 2, T-bone (likely), Unknown (unable to determine from the footage)," Unknown (likely, given the severity of a T-bone)", No (no visible fire), Yes (traffic incident)," Sedan (most visible), and either another Sedan or a Small SUV", No," Night, wet (street is reflecting light)", Yes (low resolution and blurry due to motion blur)
000167.mp4,2,Appears to be a side impact (T-bone-ish) or collision while merging/changing lanes.,Undetermined.  Impossible to say from the image.,"Undetermined. Possibly, if injuries occurred.",No.,"Yes. Likely, as accidents usually require police reports.",Sedans.,No.,"Day, clear.","Yes, Low Resolution."
000168.mp4, 2,"  Pedestrian strike, with a pedestrian impacted by a vehicle.", Yes, Yes, No, Yes," Sedan (or similar passenger vehicle), Pedestrian", No," Night, weather appears to be clear.", Yes
000169.mp4, 1," Not enough information to determine the accident type. The truck is on a scale, but no accident can be determined", Unknown, Unknown, Unknown, Unknown, Tanker Truck, No," Day, clear", No
000170.mp4, 2, T-Bone/Side Impact, Possibly. Appears someone runs from vehicle.," Likely, given the impact and potential for injuries."," Yes, given the fire."," Yes, to investigate the accident and manage the scene.", Sedan and station wagon or small van.," Yes, vehicle on fire."," Night, clear."," Yes, the footage is low resolution and difficult to discern details."
000171.mp4, 2, T-bone, Cannot determine from the images., Cannot determine from the images., Cannot determine from the images., Cannot determine from the images., SUV and Minibus (van), No," Night, Wet", Yes
000172.mp4," 0 (There is no visual indication of an accident. The video is labeled ""Examples of Red Light Violations"", but doesn't show one.)", Not Applicable, no, no, no, no," SUV, truck, sedan, van.", no," Day, clear", yes
000173.mp4, 0, None, No, No, No, No," Sedans, SUVs, Trucks", No," Day, appears clear", Yes
000174.mp4, 0 (There is no accident present in the frame), N/A, no, no, no, no," Sedans, SUVs, trucks (These are the types of vehicles visible, but no accident is present.)", no," Night, appears to be clear", yes
000175.mp4, 0, N/A, no, no, no, no,  Sedan, no," Night, appears to be clear", yes
000176.mp4, 0, N/A (No accident visible), No, No, No, No," SUVs, trucks, sedans, a van", No," Day, clear", Yes
000177.mp4, Potentially 2. It is hard to tell whether or not the light-colored SUV struck the darker-colored SUV as it travelled through the intersection., Possibly a T-bone., Unknown., Unknown., Unknown., Likely.," SUV, possibly with another SUV.", No.," Day, clear.", Yes.
000178.mp4," I do not see a defined accident in these frames, only traffic moving in an intersection with red light violations listed at the bottom.", N/A, N/A, N/A, N/A, N/A," SUVS, trucks, sedans", no," Day, clear.", yes
000179.mp4," 0 (Based on the frames, there is no visible accident. The vehicles appear to be moving through an intersection.)", N/A, no, no, no, no, Sedans and possibly an SUV (based on headlight height), no," Night, possibly clear", yes
000180.mp4, 0 (There is no evidence of a collision), None, No, No, No, No," SUVs, sedans, a taxi, and other vehicle types are visible in the traffic flow.", No," Day, Clear (Appears to be daylight with clear weather conditions)", Yes (The footage appears to be low resolution)
000181.mp4,2,T-bone,Unknown,Unknown,Unknown,Likely,SUV and sedan,No,"Night, clear",Yes
000182.mp4,0,None Apparent,Cannot Determine,Cannot Determine,Cannot Determine,Cannot Determine,"Sedans, SUVs",No,"Night, Weather Unknown",Yes
000183.mp4, It is impossible to determine from this footage., Unable to determine from these images., Unable to determine from these images., Unable to determine from these images., Unable to determine from these images., Unable to determine from these images.,  SUVs and Sedans are visible., No," Day, clear weather", Yes.
000184.mp4, 2, T-bone, Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image.," SUV, Truck", no," Day, Clear", yes
000185.mp4, 2, T-bone, Yes, Yes, Yes, Yes, Car and Truck, Yes," Night, looks wet", No
000186.mp4," 0 (Based on the images, there is no accident occurring)", Not applicable, No (Not applicable based on no accident), No (Not applicable based on no accident), No (Not applicable based on no accident), No (Not applicable based on no accident),"  Based on the imagery provided, there are Sedans and trucks passing by.", No," Night, likely wet due to reflections on the road.", Yes
000187.mp4,2,Appears to be a side impact or angled collision.,"Based on the severity of the crash, it is likely.","Yes, likely needed.","Potentially, depending on the severity of the impact and any potential hazards.","Yes, for accident investigation and traffic control.","Sedan, Sedan.",No fire visible in the frames.,"Night, Wet Road",No.
000188.mp4,2,Appears to be an intersection collision.,likely yes,likely yes,possibly,likely yes,sedan,no,"night, appears to be clear, but wet roads",yes
000189.mp4, 3," T-bone collision primarily, with likely secondary impacts.", Possibly yes. The severity of the impact suggests potential injuries.," Probably yes, given the force of the collision."," Possibly yes, as a precaution."," Yes, for accident investigation and traffic management.", Vans and sedans, No," Night, clear."," Yes, the resolution is low, making it difficult to ascertain detailed damage or specific circumstances."
000190.mp4, 0, Not applicable. No accident occurred., Not applicable. No accident., No., No., No.," Motorcycle, Station Wagon, Minivan.", No.," Day, clear.", No.
000191.mp4, 3, T-bone (primarily involving the bus and dark colored sedan)," Potentially yes (given the severity of a T-bone collision involving a bus and sedan, injuries are likely)", Likely yes (based on the potential for injuries), Possibly yes (depends on the extent of damage and if there are any hazardous materials involved), Yes (given the severity and need to determine fault)," Bus, sedan (dark-colored), sedan (red)", No (no visual evidence of fire in the frames)," Day, clear weather"," Yes (the resolution is low, making it difficult to assess details precisely)"
000192.mp4, 1, Single vehicle (appears to be an accident involving only one vehicle), Unknown (Difficult to tell from the video), Unknown, Unknown, Unknown, Sedan, No," Night, appears to be clear", Yes
000193.mp4,1,Pedestrian accident,Yes,Yes,No,Yes,Bus,No,"Day, clear",No
000194.mp4," 0 (Based on the provided frames, there is no visible accident)", N/A, No (Based on the lack of visible accident), No, No, No," Motorcycles, vans, cars (sedans and SUVs)", No," Day, Clear"," Yes, the footage quality is low and grainy."
000195.mp4," 0 (Based on the single image provided, there is no visible collision or accident occurring)", Not Applicable (No accident is visible)," Unknown (Based on the single image provided, there is no visible collision or accident occurring)"," No (Based on the single image provided, there is no visible collision or accident occurring)"," No (Based on the single image provided, there is no visible collision or accident occurring)"," Unknown (Based on the single image provided, there is no visible collision or accident occurring)"," Van, Sedan, Minivan, Bus"," No (Based on the single image provided, there is no visible collision or accident occurring)", Day/Clear, No
000196.mp4,2,T-bone,Potentially yes (based on the nature of the collision),Probably yes (based on the nature of the collision),No,Yes,"Van/Mini-van, Motorcycle",No,"Day, clear",Yes
000197.mp4, 1," Single vehicle accident, likely a motorcycle falling over."," Yes, it appears someone is injured as they fell off the motorcycle and others are attending to them."," Uncertain, but possibly yes, given the apparent injury."," No, fire is not visible and not indicated in the accident type."," Possibly yes, to document the accident and assess any liability.", Motorcycle/Scooter., No.," Day, clear weather.", No
000198.mp4, 2, Possible Side Impact (T-Bone) - It appears a motorcycle and another vehicle collided at an intersection or when the motorcycle was attempting a lane change., Yes - A person is seen on the ground near the accident.," Yes - Given the presence of a person on the ground, an ambulance is likely needed.", No - There is no visual indication of fire or hazardous materials involved., Yes - Accidents involving injuries typically require police investigation for documentation and determination of fault.," Motorcycle, Sedan.", No," Day, Clear.", No - The footage is relatively clear.
000199.mp4,2,T-bone,Yes,Yes,No,Yes,"Sedan, Motorcycle",No,"Day, clear",No
000200.mp4, 2, Likely T-bone or side-impact. A red car appears to be impacting a motorcycle.," Likely yes, due to the nature of motorcycle accidents."," Likely yes, given potential injuries."," Likely no, based on the lack of visible fire or smoke."," Likely yes, to investigate the accident and determine fault.", Sedan (red car) and Motorcycle/Scooter., No.," Daytime, clear weather."," No, the footage appears to be of reasonable quality for identification."
000201.mp4, 0," Not applicable, as there is no accident.", No, No, No, No," Various sedans, a van, and a small hatchback are visible.", No," Day, clear weather", No. The footage appears to be of decent quality.
000202.mp4, 2, T-Bone," Uncertain, but possible given the impact."," Likely, given the accident type.", Unlikely based on the visible information.," Likely, given the nature of the collision to direct traffic and assess fault."," Appears to be at least one Sedan or smaller car, and another Vehicle which is harder to discern, but looks like it could be an SUV.", No," Night, appears wet or raining based on reflections on the road."," Yes, the footage is grainy and low resolution, making definitive assessment difficult."
000203.mp4, 2, Collision between a motorcycle and a car., Likely yes. The rider of the motorcycle is seen falling off.," Likely yes, given the potential for injury to the motorcycle rider."," No, there's no indication of fire or need for extrication."," Yes, to investigate the accident and determine fault.", Motorcycle and sedan., No.," Daytime, clear weather."," Yes, the resolution is low, making it difficult to discern finer details."
000204.mp4,2,T-bone,Yes,Yes,No,Yes,Sedan and motorcycle,No,Day/Clear,Yes
